time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-11T19:27:04.610Z,19.039,-67.1206,39,3.7,md,17,208,0.5716,0.44,pr,pr2023131008,2023-05-11T20:08:41.778Z,"60 km N of Isabela, Puerto Rico",earthquake,2.12,7.61,0.12,9,reviewed,pr,pr
2023-05-11T19:25:09.480Z,33.702,-116.731,16.88,1.3,ml,46,62,0.01675,0.12,ci,ci40223071,2023-05-11T21:37:52.480Z,"4km SSW of Idyllwild, CA",earthquake,0.15,0.23,0.202,27,reviewed,ci,ci
2023-05-11T18:46:49.190Z,33.9358333,-117.0523333,10.21,0.95,ml,31,57,0.1008,0.13,ci,ci40223047,2023-05-11T21:05:00.532Z,"6km S of Calimesa, CA",earthquake,0.18,0.52,0.124,22,reviewed,ci,ci
2023-05-11T18:35:22.130Z,32.9148333,-116.2598333,7.71,1.29,ml,44,62,0.05398,0.17,ci,ci40223039,2023-05-11T20:32:12.020Z,"27km ENE of Pine Valley, CA",earthquake,0.21,0.49,0.147,23,reviewed,ci,ci
2023-05-11T18:34:06.187Z,29.6322,102.0023,10,4.9,mww,151,25,6.465,0.8,us,us6000kb71,2023-05-11T19:19:32.040Z,"41 km S of Kangding, China",earthquake,8.44,1.846,0.089,12,reviewed,us,us
2023-05-11T18:31:41.796Z,10.2212,-63.5365,20.561,4.9,mb,102,52,2.649,0.78,us,us6000kb70,2023-05-11T20:28:15.592Z,"23 km ENE of San Antonio, Venezuela",earthquake,4.66,5.617,0.032,308,reviewed,us,us
2023-05-11T18:26:50.410Z,33.4163333,-116.893,8.22,2.1,ml,86,15,0.06708,0.21,ci,ci40223023,2023-05-11T20:24:59.160Z,"4km SW of Aguanga, CA",earthquake,0.13,0.51,0.171,30,reviewed,ci,ci
2023-05-11T18:19:30.830Z,59.9687,-151.1475,46.9,1.8,ml,,,,0.54,ak,ak02360y8ekb,2023-05-11T18:21:50.714Z,"Kenai Peninsula, Alaska",earthquake,,1,,,automatic,ak,ak
2023-05-11T18:17:10.250Z,19.4044990539551,-155.288497924805,0.600000023841858,1.82000005,md,8,126,,0.0900000036,hv,hv73396857,2023-05-11T18:20:12.850Z,"Island of Hawaii, Hawaii",earthquake,0.26,0.330000013,1.52999997,7,automatic,hv,hv
2023-05-11T18:13:28.640Z,38.7444992,-122.8218307,5.53,1.12,md,10,199,0.03097,0.01,nc,nc73886626,2023-05-11T22:27:14.962Z,"7km WSW of The Geysers, CA",earthquake,0.71,2.01,0.22,10,automatic,nc,nc
